movie_title,year,rank,star_cast,rating,vote,link,genres
The Great Escape,1963,143,"John Sturges (dir.), Steve McQueen, James Garner",8.156972346948203,233921,https://www.imdb.com/title/tt0057115/,"Adventure,Drama,History,Thriller,War"
Casino,1995,144,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.153938873960628,488369,https://www.imdb.com/title/tt0112641/,"Crime,Drama"
There Will Be Blood,2007,145,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.153274235195035,545346,https://www.imdb.com/title/tt0469494/,Drama
The Treasure of the Sierra Madre,1948,146,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.153046914421623,119723,https://www.imdb.com/title/tt0040897/,"Adventure,Drama,Western"
Pan's Labyrinth,2006,147,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.149735235045442,639016,https://www.imdb.com/title/tt0457430/,"Drama,Fantasy,War"
A Beautiful Mind,2001,148,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.148285116973788,881716,https://www.imdb.com/title/tt0268978/,"Biography,Drama"
El secreto de sus ojos,2009,149,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.145725215304044,201224,https://www.imdb.com/title/tt1305806/,"Drama,Mystery,Romance,Thriller"
Raging Bull,1980,150,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.144512306963616,335927,https://www.imdb.com/title/tt0081398/,"Biography,Drama,Sport"
Tonari no Totoro,1988,151,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.138570205942349,311227,https://www.imdb.com/title/tt0096283/,"Animation,Family,Fantasy"
Chinatown,1974,152,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.137929955712051,309716,https://www.imdb.com/title/tt0071315/,"Drama,Mystery,Thriller"
"Lock, Stock and Two Smoking Barrels",1998,153,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.134408949337958,555417,https://www.imdb.com/title/tt0120735/,"Action,Comedy,Crime"
The Gold Rush,1925,154,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.131147158367297,106533,https://www.imdb.com/title/tt0015864/,"Adventure,Comedy,Drama,Western"
Shutter Island,2010,155,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.13044743945003,1197155,https://www.imdb.com/title/tt1130884/,"Mystery,Thriller"
No Country for Old Men,2007,156,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.128610955756212,901509,https://www.imdb.com/title/tt0477348/,"Crime,Drama,Thriller"
Dial M for Murder,1954,157,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.128177446026829,166816,https://www.imdb.com/title/tt0046912/,"Crime,Thriller"
Det sjunde inseglet,1957,158,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.127455677011639,175540,https://www.imdb.com/title/tt0050976/,"Drama,Fantasy,History,Thriller"
"Three Billboards Outside Ebbing, Missouri",2017,159,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.126725557890154,466477,https://www.imdb.com/title/tt5027774/,"Comedy,Crime,Drama"
The Elephant Man,1980,160,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.124216711742683,230660,https://www.imdb.com/title/tt0080678/,"Biography,Drama"
The Thing,1982,161,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.123938057939045,391471,https://www.imdb.com/title/tt0084787/,"Horror,Mystery,Sci-Fi"
The Sixth Sense,1999,162,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.122176590590117,942715,https://www.imdb.com/title/tt0167404/,"Drama,Mystery,Thriller"
Klaus,2019,163,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.119373441850327,119910,https://www.imdb.com/title/tt4729430/,"Animation,Adventure,Comedy,Family"
